,Year,Month,avg_temperature,avg_rainfall
0,2023,10,28.93548387096774,4.16774193548387
1,2023,11,28.363333333333333,8.273333333333333
2,2023,12,27.493333333333332,9.616666666666667
3,2024,1,27.47826086956522,5.174193548387097
4,2024,2,28.579310344827583,3.3241379310344823
5,2024,3,28.903448275862072,5.445161290322581
6,2024,4,29.27777777777778,4.513333333333334
7,2024,5,29.14516129032258,6.164516129032258
8,2024,6,28.923333333333336,4.66
9,2024,7,29.154838709677417,2.574193548387097
10,2024,8,28.470967741935485,4.890322580645161
11,2024,9,28.709999999999997,6.489999999999999
